"room","party","build","motor","status","seconds","damage","travel","stationary","boundary","cells","fieldCells","exposure","stalled","close","falls","peakFields","peakPacket"
"split","1","base","move","victory","22,9","12","139,4088433073429","0,5333333333333333","6,883333333333314","49","0","21","10,5","0","0","0","4580"
"split","1","base","stationary","defeat","44,07","100","0,00019185387737911654","44,06666666666545","0","2","0","24","6,25","0","0","0","4792"
"split","1","base","back-wall","defeat","14,03","100","0,0031004550306180188","14,03333333333361","14,03333333333361","1","0","13,5","0","0","0","0","4762"
"split","1","base","corner","defeat","24,15","100","0,0013042474857485912","24,14999999999991","24,14999999999991","1","0","24,25","22,75","0","0","0","4773"
"split","1","reaction","move","victory","16,55","0","96,22291287946622","0,26666666666666666","6,733333333333315","39","0","13,75","8","0","0","0","5000"
"split","1","reaction","stationary","defeat","24,78","100","0,00011305653698605012","24,783333333333207","0","2","0","25","2,5","0","0","0","4429"
"split","1","reaction","back-wall","defeat","18,33","100","8,442017316961597E-06","18,333333333333574","18,333333333333574","1","0","18,5","0","0","0","0","4655"
"split","1","reaction","corner","defeat","18,33","100","2,697398300928996E-07","18,333333333333574","18,333333333333574","1","0","18,5","17","0","0","0","4259"
"split","1","field","move","victory","15,9","14","97,7113266008821","0,4333333333333333","6,466666666666649","38","19","13","9,25","0","0","2","5561"
"split","1","field","stationary","defeat","35,53","100","0,00015692555554073763","35,5333333333326","0","2","11","35,75","3,5","0","0","2","5432"
"split","1","field","back-wall","defeat","14,38","100","0,004281407070551626","14,383333333333628","14,383333333333628","1","6","14,5","0","0","0","2","5190"
"split","1","field","corner","defeat","30,42","100","2,697398300928996E-07","30,41666666666622","30,41666666666622","1","8","30,5","29","0","0","2","5620"
"split","1","structure","move","victory","10,88","0","64,12062024275866","0,21666666666666665","4,666666666666655","29","1","8,5","4,5","0","0","1","5179"
"split","1","structure","stationary","victory","17,95","0","8,504235394161652E-05","17,950000000000262","0","2","0","7","1,75","0","0","0","5012"
"split","1","structure","back-wall","victory","39,88","70","8,442017316961597E-06","39,88333333333235","39,88333333333235","1","0","12,25","0","0","0","0","5775"
"split","1","structure","corner","defeat","30,42","100","2,697398300928996E-07","30,41666666666622","30,41666666666622","1","0","30,5","29","0","0","0","5736"
"split","1","basin","move","victory","12,85","0","70,06117465143763","0,2333333333333333","5,616666666666652","29","18","8,75","6,5","0","0","1","5414"
